"placard-pseudo href","image-hide src","header-col","subtitle-alpha","subtitle-alpha href","subtitle-beta","subtitle-beta href","data-points-2c","data-points-2c 2","data-points-2c 3","company-logo src"
"https://www.loopnet.com/Listing/4898-El-Camino-Real-Los-Altos-CA/38468890/","https://images1.loopnet.com/i2/Ncn5vYziANahd4-FRcLw3aMiS7eYdCrX1EQlN29A0AU/115/land-property-for-sale-4898-el-camino-real-los-altos-ca-94022.jpg","4898 El Camino Real","Entitled-8 Story, 85 Unit Condo","https://www.loopnet.com/Listing/4898-El-Camino-Real-Los-Altos-CA/38468890/","Los Altos, CA 94022","https://www.loopnet.com/Listing/4898-El-Camino-Real-Los-Altos-CA/38468890/","$25,000,000","1 Residential Income Lot","0.43 AC Lot",""
"https://www.loopnet.com/Listing/628-Waverley-St-Palo-Alto-CA/38441348/","https://images1.loopnet.com/i2/ut8cIHYpfwmh9rvaa7MadT8zqtiYd3hfrKTSrf5kHeA/115/multifamily-property-for-sale-628-waverley-st-palo-alto-ca-94301.jpg","628 Waverley St","","","Palo Alto, CA 94301","https://www.loopnet.com/Listing/628-Waverley-St-Palo-Alto-CA/38441348/","$4,295,000","5.87% Cap Rate","14 Unit Apartment Building","https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png"
"https://www.loopnet.com/Listing/1815-Woodland-Ave-East-Palo-Alto-CA/38375117/","https://images1.loopnet.com/i2/YIGROk2FhbuS2sZKPjDKeSipMxN1c7D_RMab4YI1UBM/115/multifamily-property-for-sale-1815-woodland-ave-east-palo-alto-ca-94303.jpg","1815 Woodland Ave","1815-1817 Woodland Ave","https://www.loopnet.com/Listing/1815-Woodland-Ave-East-Palo-Alto-CA/38375117/","East Palo Alto, CA 94303","https://www.loopnet.com/Listing/1815-Woodland-Ave-East-Palo-Alto-CA/38375117/","$1,060,000","2.26% Cap Rate","2 Unit Apartment Building","https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png"
"https://www.loopnet.com/Listing/1811-Woodland-Ave-East-Palo-Alto-CA/38375091/","https://images1.loopnet.com/i2/SxAh1eGpnqSP7vcRAvbawOlE3vgeFrY3sztPtfhEItU/115/multifamily-property-for-sale-1811-woodland-ave-east-palo-alto-ca-94303.jpg","1811 Woodland Ave","1811-1813 Woodland Ave","https://www.loopnet.com/Listing/1811-Woodland-Ave-East-Palo-Alto-CA/38375091/","East Palo Alto, CA 94303","https://www.loopnet.com/Listing/1811-Woodland-Ave-East-Palo-Alto-CA/38375091/","$1,060,000","3.21% Cap Rate","2 Unit Apartment Building","https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png"
"https://www.loopnet.com/Listing/1730-Bay-Rd-Palo-Alto-CA/38310524/","https://images1.loopnet.com/i2/EB6czn9P-7oVEh1HeRf1wOG7KrLQrc_GNGL_DJX6Og8/115/multifamily-property-for-sale-1730-bay-rd-palo-alto-ca-94303.jpg","1730 Bay Rd","Courtyard at Bay Road","https://www.loopnet.com/Listing/1730-Bay-Rd-Palo-Alto-CA/38310524/","Palo Alto, CA 94303","https://www.loopnet.com/Listing/1730-Bay-Rd-Palo-Alto-CA/38310524/","$19,000,000","3.87% Cap Rate","78 Unit Apartment Building","https://images1.loopnet.com/i2/TEYQI1qm-L8wVTMKI8FjsHL2a2Oli65eRvDFgpK8cLg/105/image.jpg"
"https://www.loopnet.com/Listing/695-Oak-Grove-Ave-Menlo-Park-CA/38243997/","https://images1.loopnet.com/i2/1jBbWyWPkueVBwyAWlLhAcKNfKjPCkPJKgN_6BxewwA/115/medical-property-for-sale-695-oak-grove-ave-menlo-park-ca-94025.jpg","695 Oak Grove Ave","","","Menlo Park, CA 94025","https://www.loopnet.com/Listing/695-Oak-Grove-Ave-Menlo-Park-CA/38243997/","$2,495,000","1 Unit Available","1,722 SF Unit","https://images1.loopnet.com/i2/-OoYZWr-p7CN7g7x1yiQuy2DBKkKbPfGPmBQe_OpWVM/105/image.jpg"
"https://www.loopnet.com/Listing/2051-El-Camino-Real-Palo-Alto-CA/38068280/","https://images1.loopnet.com/i2/ivFEvTUa2im8NjckUdhr7IvRIUkpcShIMwz-2K5y3m0/115/office-property-for-sale-2051-el-camino-real-palo-alto-ca-94306.jpg","2051 El Camino Real","","","Palo Alto, CA 94306","https://www.loopnet.com/Listing/2051-El-Camino-Real-Palo-Alto-CA/38068280/","$4,100,000","4.60% Cap Rate","6,529 SF Office Building","https://images1.loopnet.com/i2/DRQoiAmPk-9bllVvbZ3y65Mceu7DGvKA5KmqsdTiwHw/105/image.jpg"
"https://www.loopnet.com/Listing/235-Alma-St-Palo-Alto-CA/37981258/","https://images1.loopnet.com/i2/-0wqfH9bhnQZqY889Axom4wGDg28AgRCE2DQJWDZFqc/115/office-property-for-sale-235-alma-st-palo-alto-ca-94301.jpg","235 Alma St","Back Bldg","https://www.loopnet.com/Listing/235-Alma-St-Palo-Alto-CA/37981258/","Palo Alto, CA 94301","https://www.loopnet.com/Listing/235-Alma-St-Palo-Alto-CA/37981258/","$5,798,000","3,940 SF Office Building","Built in 1904",""
"https://www.loopnet.com/Listing/3191-Middlefield-Rd-Palo-Alto-CA/37712509/","https://images1.loopnet.com/i2/hjlmMYXeduw2MLaNRO8zWLpFZ8ujBzd5_ZXyzEMDETI/115/land-property-for-sale-3191-middlefield-rd-palo-alto-ca-94306.jpg","3191 Middlefield Rd","Development Site","https://www.loopnet.com/Listing/3191-Middlefield-Rd-Palo-Alto-CA/37712509/","Palo Alto, CA 94306","https://www.loopnet.com/Listing/3191-Middlefield-Rd-Palo-Alto-CA/37712509/","$12,000,000","1 Commercial Lot","1.13 AC Lot","https://images1.loopnet.com/i2/53js0WhJTcCCLBPGHPZMVy0lKwkHCn2y1N3zlheanAo/105/image.png"
"https://www.loopnet.com/Listing/2083-Old-Middlefield-Way-Mountain-View-CA/37412586/","https://images1.loopnet.com/i2/uJQ1wZYPIhe3s-Z4DwJt3GPdHaqhVrs__Uu4PRissaA/115/office-property-for-sale-2083-old-middlefield-way-mountain-view-ca-94043.jpg","2083 Old Middlefield Way","NEW RARE Owner User Building! LARGE PARCEL!","https://www.loopnet.com/Listing/2083-Old-Middlefield-Way-Mountain-View-CA/37412586/","Mountain View, CA 94043","https://www.loopnet.com/Listing/2083-Old-Middlefield-Way-Mountain-View-CA/37412586/","$4,495,000","10,000 SF Office Building","Built in 1986","https://images1.loopnet.com/i2/AhEPMolXA5rL1krkswp0h9oaVREQoS_xzxscm9xqxpU/105/image.jpg"
"https://www.loopnet.com/Listing/251-Middlefield-Rd-Palo-Alto-CA/36220188/","https://images1.loopnet.com/i2/ObgEsIGqMCNGNlPCqNLtEFMp48yjD7Gu8EykvCJB2rE/115/multifamily-property-for-sale-251-middlefield-rd-palo-alto-ca-94301.jpg","251 Middlefield Rd","Rare Palo Alto 7 Unit Trophy Asset","https://www.loopnet.com/Listing/251-Middlefield-Rd-Palo-Alto-CA/36220188/","Palo Alto, CA 94301","https://www.loopnet.com/Listing/251-Middlefield-Rd-Palo-Alto-CA/36220188/","$8,500,000","1.32% Cap Rate","7 Unit Apartment Building","https://images1.loopnet.com/i2/IK_GDAnlr4Jf9Iu18rnSiVU5rr1Uq_67UIFtDoQiHmE/105/image.jpg"
"https://www.loopnet.com/Listing/2483-2491-Whitney-Dr-Mountain-View-CA/36057032/","https://images1.loopnet.com/i2/mKN9ExLu923lXgH29ENaiMN16tzA81jPgvjyYeT8cN4/115/multifamily-property-for-sale-2483-2491-whitney-dr-mountain-view-ca-94043.jpg","2483-2491 Whitney Dr","","","Mountain View, CA 94043","https://www.loopnet.com/Listing/2483-2491-Whitney-Dr-Mountain-View-CA/36057032/","$17,500,000","4.33% Cap Rate","40 Unit Apartment Building","https://images1.loopnet.com/i2/mn0WxN8tnpXKtRiuQ7UACPA-mQhvFUkRVWzeXu71Sos/105/image.jpg"
"https://www.loopnet.com/Listing/280-E-Okeefe-St-Palo-Alto-CA/35745754/","https://images1.loopnet.com/i2/X3c15tO8phkR_VjAP5_sH0oJy-n9eRaHYSwT6Vs-atI/115/multifamily-property-for-sale-280-e-okeefe-st-palo-alto-ca-94303.jpg","280 E Okeefe St","Park Apartment","https://www.loopnet.com/Listing/280-E-Okeefe-St-Palo-Alto-CA/35745754/","Palo Alto, CA 94303","https://www.loopnet.com/Listing/280-E-Okeefe-St-Palo-Alto-CA/35745754/","$4,650,000","4.86% Cap Rate","26 Unit Apartment Building","https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png"
"https://www.loopnet.com/Listing/401-1st-St-Los-Altos-CA/35720478/","https://images1.loopnet.com/i2/82AxxD8uPsne2rnUvk2lrAD0qsVyDmburIGLOBFh34U/115/office-property-for-sale-401-1st-st-los-altos-ca-94022.jpg","401 1st St","RJ DAILEY HQ. MUST SEE BRAND NEW INTERIORS...","https://www.loopnet.com/Listing/401-1st-St-Los-Altos-CA/35720478/","Los Altos, CA 94022","https://www.loopnet.com/Listing/401-1st-St-Los-Altos-CA/35720478/","$2,600,000","2,550 SF Office Building","Built in 1951","https://images1.loopnet.com/i2/DTVVDtMOgrL690YAML3I2VYABwJ6Y68tN_vclH4XlgY/105/image.jpg"
"https://www.loopnet.com/Listing/568-586-Glenwood-Ave-Menlo-Park-CA/35432550/","https://images1.loopnet.com/i2/aW7WnQ7E5OL83WiM8Of9_ldZL9GYRqCEHzW08M_ZTa0/115/multifamily-property-for-sale-568-586-glenwood-ave-menlo-park-ca-94025.png","568-586 Glenwood Ave","","","Menlo Park, CA 94025","https://www.loopnet.com/Listing/568-586-Glenwood-Ave-Menlo-Park-CA/35432550/","$7,395,000","6 Unit Apartment Building","11,121 SF","https://images1.loopnet.com/i2/KusPisvc_OVaY0NA5w4ICNRNDWlg5A5Igc5ulHzYZzc/105/image.jpg"
"https://www.loopnet.com/Listing/1060-Terra-Bella-Ave-Mountain-View-CA/35294787/","https://images1.loopnet.com/i2/p5DUtfBv04N59fyy2mX65zlBJr-nFcyJoNED9vGe3kU/115/flex-property-for-sale-1060-terra-bella-ave-mountain-view-ca-94043.jpg","1060 Terra Bella Ave","","","Mountain View, CA 94043","https://www.loopnet.com/Listing/1060-Terra-Bella-Ave-Mountain-View-CA/35294787/","$5,800,000","13,700 SF Flex Building","Built in 1981",""
"https://www.loopnet.com/Listing/389-1st-St-Los-Altos-CA/35202432/","https://images1.loopnet.com/i2/JuDeJCZJ7-402t4iTMXjhSZ3BUXwaIL1YuzguJsVVHk/115/office-retail-property-for-sale-389-1st-st-los-altos-ca-94022.png","389 1st St","1st Street Village","https://www.loopnet.com/Listing/389-1st-St-Los-Altos-CA/35202432/","Los Altos, CA 94022","https://www.loopnet.com/Listing/389-1st-St-Los-Altos-CA/35202432/","$1,600,000","1 Unit Available","1,337 SF Unit","https://images1.loopnet.com/i2/UTtUgfgQGUX2CkyBU7paHgI1eMyQJcCoy42sADscIVw/105/image.png"
"https://www.loopnet.com/Listing/325-327-Hawthorne-Ave-Palo-Alto-CA/35096291/","https://images1.loopnet.com/i2/vMSRJJxlSfzFxZifu1S5M-z5Qe3hSSfeLmp0b1w8h84/115/multifamily-property-for-sale-325-327-hawthorne-ave-palo-alto-ca-94301.jpg","325-327 Hawthorne Ave","Hawthorne Apartment Homes","https://www.loopnet.com/Listing/325-327-Hawthorne-Ave-Palo-Alto-CA/35096291/","Palo Alto, CA 94301","https://www.loopnet.com/Listing/325-327-Hawthorne-Ave-Palo-Alto-CA/35096291/","$11,500,000","4.00% Cap Rate","15 Unit Apartment Building","https://images1.loopnet.com/i2/bXCGlp-c1lEo8-WVXk2e_V27iDUJ1Zs5B7xIr5NBlPE/105/image.jpg"
"https://www.loopnet.com/Listing/1165-1195-Merrill-St-Menlo-Park-CA/34820829/","https://images1.loopnet.com/i2/YlKuoTROnqk_KTxKdtg7NaQDAUX9BXBUd6mMtDivnnY/115/retail-property-for-sale-1165-1195-merrill-st-menlo-park-ca-94025.jpg","1165-1195 Merrill St","Single tenant NNN leased investment","https://www.loopnet.com/Listing/1165-1195-Merrill-St-Menlo-Park-CA/34820829/","Menlo Park, CA 94025","https://www.loopnet.com/Listing/1165-1195-Merrill-St-Menlo-Park-CA/34820829/","$8,600,000","4.95% Cap Rate","7,463 SF Retail Building","https://images1.loopnet.com/i2/UH-R_rbKCpA0EV9Qv-JLvM0dv5IWyUzf-dK0C4wV1BE/105/image.jpg"
"https://www.loopnet.com/Listing/2905-El-Camino-Real-Palo-Alto-CA/34426205/","https://images1.loopnet.com/i2/VRdJ2kv4wPRlpuYXbb40O0U09TjL8GzIjwYGyQu1DQw/115/retail-property-for-sale-2905-el-camino-real-palo-alto-ca-94306.jpg","2905 El Camino Real","","","Palo Alto, CA 94306","https://www.loopnet.com/Listing/2905-El-Camino-Real-Palo-Alto-CA/34426205/","$5,750,000","8,571 SF Retail Building","Built in 1950","https://images1.loopnet.com/i2/AkDe-FU_dZ3WmFkhzaoPLPZGk-aIjquhAUOb1fu5Irk/105/image.png"
"https://www.loopnet.com/Listing/643-Emerson-St-Palo-Alto-CA/33454238/","https://images1.loopnet.com/i2/WdMwLVCGnA_5QS5v9PVzyF-jdLmNn3Akzq0mzZP2D_I/115/retail-property-for-sale-643-emerson-st-palo-alto-ca-94301.png","643 Emerson St","Single Tenant NNN Leased Investment","https://www.loopnet.com/Listing/643-Emerson-St-Palo-Alto-CA/33454238/","Palo Alto, CA 94301","https://www.loopnet.com/Listing/643-Emerson-St-Palo-Alto-CA/33454238/","$6,500,000","4.94% Cap Rate","5,590 SF Retail Building","https://images1.loopnet.com/i2/hSPD3xuUPP45YhUKvrE11x8orrXzwfgsP-kYJ0P2yc4/105/image.jpg"
"https://www.loopnet.com/Listing/830-University-Dr-Menlo-Park-CA/33233904/","https://images1.loopnet.com/i2/l7wdTQHX9w4W5yzzUUR7ItIff7aPuD1n4T-sB05z30I/115/multifamily-property-for-sale-830-university-dr-menlo-park-ca-94025.jpg","830 University Dr","","","Menlo Park, CA 94025","https://www.loopnet.com/Listing/830-University-Dr-Menlo-Park-CA/33233904/","$3,750,000","2.16% Cap Rate","4 Unit Apartment Building","https://images1.loopnet.com/i2/ujcHlkMJN-iWL5DNSy12F_RyJ9C8R4ahTwFK3mdZMZM/105/image.png"
"https://www.loopnet.com/Listing/585-Glenwood-Ave-Menlo-Park-CA/32736820/","https://images1.loopnet.com/i2/QLrfsZLTM3Pwtz2IJYOSGFTSx1vQxtMTc3I750sOak0/115/office-property-for-sale-585-glenwood-ave-menlo-park-ca-94025.jpg","585 Glenwood Ave","","","Menlo Park, CA 94025","https://www.loopnet.com/Listing/585-Glenwood-Ave-Menlo-Park-CA/32736820/","$4,500,000","4,950 SF Office Building","Built in 1997",""
"https://www.loopnet.com/Listing/1621-W-El-Camino-Real-Mountain-View-CA/32174076/","https://images1.loopnet.com/i2/AcJTXk6jDORIx9AWbTq2uSP1oReNJEEp68iJFomGNSo/115/office-property-for-sale-1621-w-el-camino-real-mountain-view-ca-94040.jpg","1621 W El Camino Real","Office/Medical/Retail Owner User Opportunity","https://www.loopnet.com/Listing/1621-W-El-Camino-Real-Mountain-View-CA/32174076/","Mountain View, CA 94040","https://www.loopnet.com/Listing/1621-W-El-Camino-Real-Mountain-View-CA/32174076/","$2,900,000","3,696 SF Office Building","Built in 1965","https://images1.loopnet.com/i2/DTVVDtMOgrL690YAML3I2VYABwJ6Y68tN_vclH4XlgY/105/image.jpg"
"https://www.loopnet.com/Listing/1893-Woodland-Ave-East-Palo-Alto-CA/31346812/","https://images1.loopnet.com/i2/1-yhGrCL853htbXxUs_saHZUjvd8eN90BZ6uNCTk3V8/115/land-property-for-sale-1893-woodland-ave-east-palo-alto-ca-94303.jpg","1893 Woodland Ave","","","East Palo Alto, CA 94303","https://www.loopnet.com/Listing/1893-Woodland-Ave-East-Palo-Alto-CA/31346812/","$6,399,000","1 Residential Income Lot","1.07 AC Lot","https://images1.loopnet.com/i2/FPrDeLksGT1a1b7FU9_0bZe33BIRJyOkCyLKC_p1Xnw/105/image.jpg"
"https://www.loopnet.com/Listing/1001-N-Rengstorff-Ave-Mountain-View-CA/31115787/","https://images1.loopnet.com/i2/mRarF1GXOD03s9tTwBIMv0c65lFmNWCD-CtnkQj5mq4/115/office-property-for-sale-1001-n-rengstorff-ave-mountain-view-ca-94043.jpg","1001 N Rengstorff Ave","","","Mountain View, CA 94043","https://www.loopnet.com/Listing/1001-N-Rengstorff-Ave-Mountain-View-CA/31115787/","$7,900,000","12,853 SF Office Building","Built in 1985","https://images1.loopnet.com/i2/AkDe-FU_dZ3WmFkhzaoPLPZGk-aIjquhAUOb1fu5Irk/105/image.png"
"https://www.loopnet.com/Listing/975-Terra-Bella-Ave-Mountain-View-CA/26691369/","https://images1.loopnet.com/i2/reFtDAi4cpY1dh6PqWkxbE1BbMhQ_-g_4n4OUWXhyNs/115/land-property-for-sale-975-terra-bella-ave-mountain-view-ca-94043.jpg","975 Terra Bella Ave","M-M Zoned Acerage","https://www.loopnet.com/Listing/975-Terra-Bella-Ave-Mountain-View-CA/26691369/","Mountain View, CA 94043","https://www.loopnet.com/Listing/975-Terra-Bella-Ave-Mountain-View-CA/26691369/","$8,500,000","1 Commercial Lot","0.86 AC Lot","https://images1.loopnet.com/i2/X49QE-F4V0WWClparK4yzFflns_ppe9L7QLStQ1_ods/105/image.jpg"
"https://www.loopnet.com/Listing/1804-Bay-Rd-East-Palo-Alto-CA/24664502/","https://images1.loopnet.com/i2/zSXVPNRgM0LNgrHXrjyU0FT9WY0Q6kITGEKHy-C3948/115/multifamily-property-for-sale-1804-bay-rd-east-palo-alto-ca-94303.jpg","1804 Bay Rd","","","East Palo Alto, CA 94303","https://www.loopnet.com/Listing/1804-Bay-Rd-East-Palo-Alto-CA/24664502/","$7,950,000","75 Unit Apartment Building","102,753 SF","https://images1.loopnet.com/i2/jnpzyGwdiz7GxTBX0HNFDWAh2aFQBMMapD4KrbYOqyc/105/image.png"
"https://www.loopnet.com/Listing/1120-1122-Crane-St-Menlo-Park-CA/38660009/","https://images1.loopnet.com/i2/lLU9bzBEBbDsp3e92QiMe3Y7yQLwQ7U6Pj9ahRlX6rc/115/office-property-for-sale-1120-1122-crane-st-menlo-park-ca-94025.jpg","1120-1122 Crane St","","","Menlo Park, CA 94025","https://www.loopnet.com/Listing/1120-1122-Crane-St-Menlo-Park-CA/38660009/","8,000 SF Office Building","Built in 1969","Investment Opportunity","https://images1.loopnet.com/i2/KusPisvc_OVaY0NA5w4ICNRNDWlg5A5Igc5ulHzYZzc/105/image.jpg"
"https://www.loopnet.com/Listing/2421-2431-Park-Blvd-Palo-Alto-CA/37936594/","https://images1.loopnet.com/i2/7JvdWuH65_1R0bZagbrz3vQNurnKahBcEY-OBdl9NjM/115/office-property-for-sale-2421-2431-park-blvd-palo-alto-ca-94306.jpg","2421-2431 Park Blvd","Bldg B","https://www.loopnet.com/Listing/2421-2431-Park-Blvd-Palo-Alto-CA/37936594/","Palo Alto, CA 94306","https://www.loopnet.com/Listing/2421-2431-Park-Blvd-Palo-Alto-CA/37936594/","1 Unit Available","1,373 SF Unit","34,916 SF Medical Building","https://images1.loopnet.com/i2/ujcHlkMJN-iWL5DNSy12F_RyJ9C8R4ahTwFK3mdZMZM/105/image.png"
"https://www.loopnet.com/Listing/102-University-Ave-Palo-Alto-CA/37640391/","https://images1.loopnet.com/i2/RDfpZi6-3vnIAu_ckkz-keg_Ny3WrbGesNY--OxEmF0/115/multifamily-property-for-sale-102-university-ave-palo-alto-ca-94301.jpg","102 University Ave","","","Palo Alto, CA 94301","https://www.loopnet.com/Listing/102-University-Ave-Palo-Alto-CA/37640391/","3 Unit Apartment Building","17,000 SF","Built in 2010","https://images1.loopnet.com/i2/q4srtYMZdU7U5_ZXCjsto-2qHhpchRgToAYzmnmTnv8/105/image.jpg"
"https://www.loopnet.com/Listing/BEST-OF-CLASS-DOWNTOWN-PALO-ALTO/37066577/","https://images1.loopnet.com/i2/iNfbccQo_wW1F8w1CvLTVOm_0vnDbujiYNITwGdXsNA/115/best-of-class-downtown-palo-alto-office-property-for-sale-palo-alto-ca.jpg","BEST OF CLASS DOWNTOWN PALO ALTO","","","","","2 Office Properties","","","https://images1.loopnet.com/i2/DTVVDtMOgrL690YAML3I2VYABwJ6Y68tN_vclH4XlgY/105/image.jpg"
"https://www.loopnet.com/Listing/580-College-Ave-Palo-Alto-CA/36092634/","https://images1.loopnet.com/i2/j3wyTIOMj38yahmUoGI4rQzw5ltGB_dbta2d1Y1ro18/115/office-property-for-sale-580-college-ave-palo-alto-ca-94306.jpg","580 College Ave","","","Palo Alto, CA 94306","https://www.loopnet.com/Listing/580-College-Ave-Palo-Alto-CA/36092634/","7,000 SF Office Building","Built in 1955","Well Suited for Owner Occupancy","https://images1.loopnet.com/i2/KusPisvc_OVaY0NA5w4ICNRNDWlg5A5Igc5ulHzYZzc/105/image.jpg"
"https://www.loopnet.com/Listing/1900-Embarcadero-Rd-Palo-Alto-CA/33871765/","https://images1.loopnet.com/i2/dJEWa1_UMukSzlltnSddnpjt80fzKuF0YQ4VyhTTEyw/115/office-property-for-sale-1900-embarcadero-rd-palo-alto-ca-94303.jpg","1900 Embarcadero Rd","","","Palo Alto, CA 94303","https://www.loopnet.com/Listing/1900-Embarcadero-Rd-Palo-Alto-CA/33871765/","25,303 SF Office Building","Built in 1974","1.14 AC Lot","https://images1.loopnet.com/i2/KusPisvc_OVaY0NA5w4ICNRNDWlg5A5Igc5ulHzYZzc/105/image.jpg"
"https://www.loopnet.com/Listing/980-990-OBrien-Dr-Menlo-Park-CA/33156540/","https://images1.loopnet.com/i2/luEtCFSNOevvzYY3Ifkmlm9_0d2fmx-Oz4pXYqCFCIA/115/industrial-property-for-sale-980-990-obrien-dr-menlo-park-ca-94025.jpg","980-990 O'Brien Dr","Kavanaugh Industrial","https://www.loopnet.com/Listing/980-990-OBrien-Dr-Menlo-Park-CA/33156540/","Menlo Park, CA 94025","https://www.loopnet.com/Listing/980-990-OBrien-Dr-Menlo-Park-CA/33156540/","12,000 SF Industrial Building","Built in 1967","Investment Opportunity","https://images1.loopnet.com/i2/vDSbAlM6HTxqr62iIgf5sFVFVUBYvsZmR6L2cg71c08/105/image.jpg"
"https://www.loopnet.com/Listing/2189-Leghorn-St-Mountain-View-CA/32933649/","https://images1.loopnet.com/i2/VTC1zi7xHLRKHrc5fQPqx0SYHs45vbNX7FV9cLaxV6k/115/flex-property-for-sale-2189-leghorn-st-mountain-view-ca-94043.jpg","2189 Leghorn St","","","Mountain View, CA 94043","https://www.loopnet.com/Listing/2189-Leghorn-St-Mountain-View-CA/32933649/","13,372 SF Flex Building","Built in 1968","0.93 AC Lot","https://images1.loopnet.com/i2/KusPisvc_OVaY0NA5w4ICNRNDWlg5A5Igc5ulHzYZzc/105/image.jpg"
"https://www.loopnet.com/Listing/1356-W-Dana-St-Mountain-View-CA/38428157/","https://images1.loopnet.com/i2/0a-VLxYL-3Rdys-15geCtjU0lRiEPsq-3eGWb3WFvtM/115/multifamily-property-for-sale-1356-w-dana-st-mountain-view-ca-94041.png","1356 W Dana St","","","Mountain View, CA 94041","https://www.loopnet.com/Listing/1356-W-Dana-St-Mountain-View-CA/38428157/","$2,050,000","3 Unit Apartment Building","1,810 SF",""
"https://www.loopnet.com/Listing/1021-Evelyn-Menlo-Park-CA/36302639/","https://images1.loopnet.com/i2/N5izvLgWEUJsFlGeSdMYhgxrghM4q0_teYN0vYs_6UM/115/land-property-for-sale-1021-evelyn-menlo-park-ca-94025.jpg","1021 Evelyn","","","Menlo Park, CA 94025","https://www.loopnet.com/Listing/1021-Evelyn-Menlo-Park-CA/36302639/","$5,250,000","1 Commercial Lot","0.16 AC Lot",""
"https://www.loopnet.com/Listing/2195-Leghorn-St-Mountain-View-CA/33277018/","https://images1.loopnet.com/i2/F4gYkA9YnGEOTOb-uh6hSN7arBZRTsQBuIMKTwU7ALs/115/industrial-property-for-sale-2195-leghorn-st-mountain-view-ca-94043.jpg","2195 Leghorn St","","","Mountain View, CA 94043","https://www.loopnet.com/Listing/2195-Leghorn-St-Mountain-View-CA/33277018/","$7,250,000","14,824 SF Industrial Building","Built in 1968",""